asset_id,display_name,tx_hash,listing_id,listed_at,price_lovelace,listing_type
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a33313932,ADA Ninjaz - Aramar #3192,80ce8a3694456919544a645dd0ce1814fbbb4a6f58ba111159ea0249a5829068#0,21121604,2022-12-30T22:54:40.602Z,225000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a30383233,ADA Ninjaz - Aramar #0823,34e4c531ee38783100cec72df44e13031ae0ed2ace6cc66ab3dd3da01cbfe00d#0,21062186,2022-12-30T14:53:49.043Z,369000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a32333835,ADA Ninjaz - Aramar #2385,95735f01f72722a6397d0e0839cbc0506e2b561ce2fc019cefff6dbec5ca9074#0,21062190,2022-12-30T14:53:23.385Z,369000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a37343731,ADA Ninjaz - Aramar #7471,0a74aaef67b45d7bb0b9b621934c4461d0d55a71806a9d985b9d8a8124567db8#0,21062169,2022-12-30T14:50:59.000Z,3499000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a32333430,ADA Ninjaz - Aramar #2340,868effda73a402155f96f1ffbe64e2e20dcb8321e280757e5ad491ad845df62b#0,21062198,2022-12-30T14:50:11.000Z,699000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a35333436,ADA Ninjaz - Aramar #5346,e72df651472a67c5f5fb72bb0c77077ce3b7a7400db379759b8d2ae4af6240f7#0,21115635,2022-12-30T02:20:12.076Z,155000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a32353431,ADA Ninjaz - Aramar #2541,d0bb9f8168a482aa6293bbe9a636a8c9e750e775b67d5ceaa646a8d833138372#0,21113468,2022-12-29T22:07:04.915Z,499000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a35323736,ADA Ninjaz - Aramar #5276,2745f181366d2a9857c480f5ce35d69e22469f5e5f73379aafb7ed7eea3d0170#0,21113379,2022-12-29T21:50:30.734Z,156000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a32353436,ADA Ninjaz - Aramar #2546,dab41e15563645e2249c3f00f8f8784add1f5b04e7b56b40223a345efcf882ce#0,21113362,2022-12-29T21:45:41.104Z,145000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a32373939,ADA Ninjaz - Aramar #2799,f3386c66b57e2ca04cc312610ed863b45ab70a403ef1a530c6946cf73e82e607#0,21110824,2022-12-29T13:00:39.773Z,209000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a36343735,ADA Ninjaz - Aramar #6475,97b4d68d6a99037fee54aa2f0705867ea33cdf8ed869acadde8409db5d3f1c3f#0,21110344,2022-12-29T10:51:04.529Z,330000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a32303531,ADA Ninjaz - Aramar #2051,90ef6c32ab93ecd1e357c8d1af397ede7f63aa217b4e4df01d4d72ba0816494b#0,21107545,2022-12-28T22:38:45.653Z,240000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a33363339,ADA Ninjaz - Aramar #3639,a6162b4cc578aab47180d4ad5ff0465d8117bb96e3e944b17272e82ebd8c1908#0,21106787,2022-12-28T20:14:12.485Z,165000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a37313534,ADA Ninjaz - Aramar #7154,7128a62c5772710a7057dc50dc41c9a5fa2afc88c3dfbf3e32568261c5e10c46#0,21093861,2022-12-26T11:59:13.326Z,200000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a36303031,ADA Ninjaz - Aramar #6001,035d4bf4dcd0e8f23c30fe516472d49ec36236c94ed9743988c7fd6fb89a074d#0,20249101,2022-12-24T12:15:31.281Z,900000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a35343239,ADA Ninjaz - Aramar #5429,e3282d241a67000a0ae28165ea0374498b4fa7b8e796cddb19b8eedc0a3ba066#0,21070706,2022-12-22T11:26:50.338Z,200000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a38313838,ADA Ninjaz - Aramar #8188,8896dc29ab184bccd2c7f2523989f00801de909dfce9d5ce8879716060ab38b6#0,21070708,2022-12-22T11:26:49.000Z,300000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a32343330,ADA Ninjaz - Aramar #2430,ca3c90eb45eead334febd36d52714189270ec1a809356ef71ee543ccaa1c10ec#0,21070700,2022-12-22T11:25:36.656Z,200000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a33343837,ADA Ninjaz - Aramar #3487,4e4d12474c352ad59853af96bafd1636fb1894dcec1ebcaf1add981e9ff63093#0,21049798,2022-12-21T22:00:04.381Z,377000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a37303737,ADA Ninjaz - Aramar #7077,131e392ccaf6899a3d6fc5c2096d1f11d654cec003a9dd0fde6f94e036c31198#0,21065617,2022-12-21T15:09:31.090Z,140000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a36373335,ADA Ninjaz - Aramar #6735,d35d634a19127536b3359293043bb401aa700f800bc1e1885749aaaf0a6fe7a2#0,20240942,2022-12-21T08:39:55.463Z,250000000,SINGLE_ASSET
